Center,Tile1,PtDistance1,GCPDistance1,Tile2,PtDistance2,GCPDistance2,Tile3,PtDistance3,GCPDistance3,Tile4,PtDistance4,GCPDistance4,Tile5,PtDistance5,GCPDistance5,Tile6,PtDistance6,GCPDistance6,Tile7,PtDistance7,GCPDistance7,Tile8,PtDistance8,GCPDistance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k113-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k112-i001.reference.tif,2008.7417563977824,12.326781982044773,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k60-i001.reference.tif,3268.102069304929,27.566317556845313,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k111-i001.reference.tif,3411.2890679039874,17.631301744695076,None,-1,-1,None,-1,-1,None,-1,-1,None,-1,-1,None,-1,-1
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,1493.9185614240394,16.227314679361985,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,2185.276624455553,12.447970519851316,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,2489.18671330707,22.09689975342419,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,2798.186912826916,40.68354582922786,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,3261.1744397905586,18.233605447505703,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,3390.032822209586,27.045149187337966,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpb1h19-i001.reference.tif,3555.769621970461,75.43453828974876,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,3969.996790495907,20.906550441523066
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,1493.9185614240394,13.035001126426764,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,1905.541561138995,12.518783917880107,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,2506.3339019944037,24.946606741791676,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,2537.740200078608,23.83790738673976,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,3598.2239886699576,36.65632095171632,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,3641.787355986039,21.56195772657375,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,3677.597441081368,16.48545091374295,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,3771.52949681851,43.86518846745864
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,1538.7880232855944,11.05849255192486,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,2084.8086687722266,18.701832021605366,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,2506.3339019944037,23.352359088276163,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,2933.6959861307296,31.54083409411025,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,3261.1744397905586,16.891151182977254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,3597.3694703458723,31.427188151005296,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h72-i001.reference.tif,3692.255448880269,29.032470687497238,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,3937.504292971807,25.166609352930756
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,1538.7880232855944,13.521106108082515,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,2058.7065645249045,25.612119958574308,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,2489.18671330707,26.114355679932984,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,2537.740200078608,25.829882700093684,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,3453.55254383321,16.758140549799343,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,3621.6253572929454,22.53398654233696,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,3639.37959069195,34.71912396416246,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,3815.83998748097,33.2617158922185
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,1430.5043317579864,33.36999485983076,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,2058.7065645249045,27.434072560211916,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,2427.113437705,42.71179842635426,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,2798.186912826916,39.710742562798764,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h152-i001.reference.tif,3067.970418330092,3291.635217691639,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,3597.3694703458723,31.2120712076755,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h113-i001.reference.tif,3676.753930802688,33.884100434715634,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,3771.52949681851,39.3437871361628
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,1430.5043317579864,33.4774659444483,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h152-i001.reference.tif,1681.23243709358,20.160144966493437,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,2784.9334424164103,15.786726911840164,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h113-i001.reference.tif,3029.3431532625978,15.618560055136808,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h149-i001.reference.tif,3453.55254383321,15.042224113450429,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h153-i001.reference.tif,3517.3750184051,98.54239884274521,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h112-i001.reference.tif,3849.331190632718,21.237290556145307,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,3969.996790495907,19.843146325350723
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h152-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,1681.23243709358,15.702150452149509,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h153-i001.reference.tif,1881.8703040439657,102.01863469979298,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h113-i001.reference.tif,2492.049663038835,15.367921268510946,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h112-i001.reference.tif,2658.469774643356,13.968710067699128,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h150-i001.reference.tif,3067.970418330092,2495.3301069823783,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h154-i001.reference.tif,3155.276614655468,3635.768706905199,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h114-i001.reference.tif,3496.23322072808,15.292489030179945,None,-1,-1
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h153-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h154-i001.reference.tif,1276.863878760376,25.172299829845215,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h152-i001.reference.tif,1881.8703040439657,104.99398737667869,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h112-i001.reference.tif,2831.463061419256,88.21693273150812,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h155-i001.reference.tif,3051.570780499542,46.09926222688291,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h151-i001.reference.tif,3517.3750184051,97.2598823496969,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h113-i001.reference.tif,3544.63111632226,3764.9733589300854,None,-1,-1,None,-1,-1
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni2h4-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni2h5-i001.reference.tif,1316.311521819233,1705.1780559957729,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h5-i001.reference.tif,2675.7322248497,2944.081664525347,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni2h6-i001.reference.tif,2732.82966947927,3049.238387092654,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h6-i001.reference.tif,3208.7485656964304,3076.275390105391,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni2h110-i001.reference.tif,3602.405542071911,2959.5450861943655,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni2h109-i001.reference.tif,3986.67813504529,3996.800217343928,None,-1,-1,None,-1,-1
