Filename,P1X,P1Y,P2X,P2Y,P3X,P3Y,P4X,P4Y,Current EPSG,Original EPSG
D:\MacConnell\Photos_Satellite\18TXM270680\18TXM270680.jp2,37791.10182,880022.287,39351.61154,881459.7451,37852.62791,881521.2745,39290.08599,879960.7647,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270695\18TXM270695.jp2,37852.62791,881521.2745,39413.1442,882958.725,37914.16102,883020.2614,39351.61154,881459.7451,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270710\18TXM270710.jp2,37914.16102,883020.2614,39474.68396,884457.7044,37975.70115,884519.2479,39413.1442,882958.725,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270725\18TXM270725.jp2,37975.70115,884519.2479,39536.23083,885956.6835,38037.24831,886018.2341,39474.68396,884457.7044,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270740\18TXM270740.jp2,38037.24831,886018.2341,39597.78482,887455.6624,38098.8025,887517.22,39536.23083,885956.6835,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270755\18TXM270755.jp2,38098.8025,887517.22,39659.34592,888954.6411,38160.36373,889016.2058,39597.78482,887455.6624,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270770\18TXM270770.jp2,38160.36373,889016.2058,39720.91415,890453.6197,38221.93199,890515.1915,39659.34592,888954.6411,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270785\18TXM270785.jp2,38221.93199,890515.1915,39782.48951,891952.5983,38283.50731,892014.1772,39720.91415,890453.6197,26986,6347
D:\MacConnell\Photos_Satellite\18TXM270800\18TXM270800.jp2,38283.50731,892014.1772,39844.072,893451.5771,38345.08967,893513.163,39782.48951,891952.5983,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285560\18TXM285560.jp2,38798.13653,867968.8941,40358.58864,869406.4095,38859.60547,869467.8814,40297.12091,867907.4293,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285575\18TXM285575.jp2,38859.60547,869467.8814,40420.06352,870905.3885,38921.08146,870966.8675,40358.58864,869406.4095,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285590\18TXM285590.jp2,38921.08146,870966.8675,40481.54554,872404.3665,38982.56453,872465.8526,40420.06352,870905.3885,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285605\18TXM285605.jp2,38982.56453,872465.8526,40543.03472,873903.3435,39044.05466,873964.8367,40481.54554,872404.3665,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285620\18TXM285620.jp2,39044.05466,873964.8367,40604.53106,875402.3195,39105.55187,875463.8199,40543.03472,873903.3435,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285635\18TXM285635.jp2,39105.55187,875463.8199,40666.03456,876901.2948,39167.05615,876962.8022,40604.53106,875402.3195,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285650\18TXM285650.jp2,39167.05615,876962.8022,40727.54522,878400.2692,39228.56753,878461.7838,40666.03456,876901.2948,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285665\18TXM285665.jp2,39228.56753,878461.7838,40789.06306,879899.243,39290.08599,879960.7647,40727.54522,878400.2692,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285680\18TXM285680.jp2,39290.08599,879960.7647,40850.58808,881398.2162,39351.61154,881459.7451,40789.06306,879899.243,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285695\18TXM285695.jp2,39351.61154,881459.7451,40912.12028,882897.189,39413.1442,882958.725,40850.58808,881398.2162,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285710\18TXM285710.jp2,39413.1442,882958.725,40973.65966,884396.1613,39474.68396,884457.7044,40912.12028,882897.189,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285725\18TXM285725.jp2,39474.68396,884457.7044,41035.20624,885895.1332,39536.23083,885956.6835,40973.65966,884396.1613,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285740\18TXM285740.jp2,39536.23083,885956.6835,41096.76002,887394.1049,39597.78482,887455.6624,41035.20624,885895.1332,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285755\18TXM285755.jp2,39597.78482,887455.6624,41158.321,888893.0765,39659.34592,888954.6411,41096.76002,887394.1049,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285770\18TXM285770.jp2,39659.34592,888954.6411,41219.88918,890392.0479,39720.91415,890453.6197,41158.321,888893.0765,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285785\18TXM285785.jp2,39720.91415,890453.6197,41281.46458,891891.0194,39782.48951,891952.5983,41219.88918,890392.0479,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285800\18TXM285800.jp2,39782.48951,891952.5983,41343.04719,893389.9909,39844.072,893451.5771,41281.46458,891891.0194,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285815\18TXM285815.jp2,39844.072,893451.5771,41404.63703,894888.9626,39905.66163,894950.5559,41343.04719,893389.9909,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285830\18TXM285830.jp2,39905.66163,894950.5559,41466.23409,896387.9345,39967.25841,896449.535,41404.63703,894888.9626,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285845\18TXM285845.jp2,39967.25841,896449.535,41527.83839,897886.9068,40028.86233,897948.5145,41466.23409,896387.9345,26986,6347
D:\MacConnell\Photos_Satellite\18TXM285860\18TXM285860.jp2,40028.86233,897948.5145,41589.44992,899385.8795,40090.47341,899447.4944,41527.83839,897886.9068,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300560\18TXM300560.jp2,40297.12091,867907.4293,41857.56468,869344.9388,40358.58864,869406.4095,41796.09815,867845.9657,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300575\18TXM300575.jp2,40358.58864,869406.4095,41919.03843,870843.9106,40420.06352,870905.3885,41857.56468,869344.9388,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300590\18TXM300590.jp2,40420.06352,870905.3885,41980.51941,872342.8814,40481.54554,872404.3665,41919.03843,870843.9106,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300605\18TXM300605.jp2,40481.54554,872404.3665,42042.00763,873841.8512,40543.03472,873903.3435,41980.51941,872342.8814,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300620\18TXM300620.jp2,40543.03472,873903.3435,42103.50309,875340.82,40604.53106,875402.3195,42042.00763,873841.8512,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300635\18TXM300635.jp2,40604.53106,875402.3195,42165.00579,876839.788,40666.03456,876901.2948,42103.50309,875340.82,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300650\18TXM300650.jp2,40666.03456,876901.2948,42226.51575,878338.7553,40727.54522,878400.2692,42165.00579,876839.788,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300665\18TXM300665.jp2,40727.54522,878400.2692,42288.03296,879837.7219,40789.06306,879899.243,42226.51575,878338.7553,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300680\18TXM300680.jp2,40789.06306,879899.243,42349.55743,881336.6879,40850.58808,881398.2162,42288.03296,879837.7219,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300695\18TXM300695.jp2,40850.58808,881398.2162,42411.08916,882835.6534,40912.12028,882897.189,42349.55743,881336.6879,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300710\18TXM300710.jp2,40912.12028,882897.189,42472.62817,884334.6185,40973.65966,884396.1613,42411.08916,882835.6534,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300725\18TXM300725.jp2,40973.65966,884396.1613,42534.17445,885833.5832,41035.20624,885895.1332,42472.62817,884334.6185,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300740\18TXM300740.jp2,41035.20624,885895.1332,42595.72801,887332.5477,41096.76002,887394.1049,42534.17445,885833.5832,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300755\18TXM300755.jp2,41096.76002,887394.1049,42657.28886,888831.5119,41158.321,888893.0765,42595.72801,887332.5477,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300770\18TXM300770.jp2,41158.321,888893.0765,42718.857,890330.4761,41219.88918,890392.0479,42657.28886,888831.5119,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300785\18TXM300785.jp2,41219.88918,890392.0479,42780.43243,891829.4403,41281.46458,891891.0194,42718.857,890330.4761,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300800\18TXM300800.jp2,41281.46458,891891.0194,42842.01516,893328.4046,41343.04719,893389.9909,42780.43243,891829.4403,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300815\18TXM300815.jp2,41343.04719,893389.9909,42903.6052,894827.369,41404.63703,894888.9626,42842.01516,893328.4046,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300830\18TXM300830.jp2,41404.63703,894888.9626,42965.20255,896326.3337,41466.23409,896387.9345,42903.6052,894827.369,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300845\18TXM300845.jp2,41466.23409,896387.9345,43026.80721,897825.2987,41527.83839,897886.9068,42965.20255,896326.3337,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300860\18TXM300860.jp2,41527.83839,897886.9068,43088.41919,899324.2641,41589.44992,899385.8795,43026.80721,897825.2987,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300875\18TXM300875.jp2,41589.44992,899385.8795,43150.03849,900823.2299,41651.06869,900884.8526,43088.41919,899324.2641,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300890\18TXM300890.jp2,41651.06869,900884.8526,43211.66513,902322.1964,41712.69471,902383.8264,43150.03849,900823.2299,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300905\18TXM300905.jp2,41712.69471,902383.8264,43273.2991,903821.1635,41774.32798,903882.8008,43211.66513,902322.1964,26986,6347
D:\MacConnell\Photos_Satellite\18TXM300920\18TXM300920.jp2,41774.32798,903882.8008,43334.94041,905320.1313,41835.96851,905381.7759,43273.2991,903821.1635,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315560\18TXM315560.jp2,41796.09815,867845.9657,43356.53348,869283.4692,41857.56468,869344.9388,43295.06817,867784.5035,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315575\18TXM315575.jp2,41857.56468,869344.9388,43418.0061,870782.4338,41919.03843,870843.9106,43356.53348,869283.4692,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315590\18TXM315590.jp2,41919.03843,870843.9106,43479.48604,872281.3973,41980.51941,872342.8814,43418.0061,870782.4338,26986,6347
