Source,Target,PtDistance,GCPDistance,Difference,Source Annotated,Target Annotated
mufs190-1952-cni5h157-i001.reference.tif,mufs190-1952-cni5h156-i001.reference.tif,1326.13373,9.092688976,30.89449708,0,2
mufs190-1952-cni5h38-i001.reference.tif,mufs190-1952-cni5h36-i001.reference.tif,3196.566617,9.151696551,5.885997486,0,0
mufs190-1952-cni3h91-i001.reference.tif,mufs190-1952-cni3h92-i001.reference.tif,2013.683183,9.15599361,-1,0,2
mufs190-1952-dpb5h40-i001.reference.tif,mufs190-1952-dpb5h41-i001.reference.tif,1932.164616,9.173459726,6.50653064,0,0
mufs190-1952-dpb4h217-i001.reference.tif,mufs190-1952-dpb4h216-i001.reference.tif,1715.729195,9.228960397,-1,0,0
mufs190-1952-cni5h154-i001.reference.tif,mufs190-1952-cni5h156-i001.reference.tif,3642.333836,9.258161601,85.99453917,2,2
mufs190-1951-dpn1k51-i001.reference.tif,mufs190-1951-dpn1k50-i001.reference.tif,1542.395593,9.297252327,4.984455983,0,2
mufs190-1952-cni8h8-i001.reference.tif,mufs190-1952-cni8h7-i001.reference.tif,2096.069705,9.37082409,6.372530448,0,2
mufs190-1951-dpn1k30-i001.reference.tif,mufs190-1951-dpn1k37-i001.reference.tif,2787.955836,9.38355781,-1,0,0
mufs190-1952-cni6h95-i001.reference.tif,mufs190-1952-cni6h78-i001.reference.tif,3317.443815,9.400703958,13.18993532,0,2
mufs190-1951-dpl2k9-i001.reference.tif,mufs190-1951-dpl2k8-i001.reference.tif,1877.144168,9.443724033,18.5788926,0,2
mufs190-1952-cni5h156-i001.reference.tif,mufs190-1952-cni5h158-i001.reference.tif,2965.324279,9.529539248,14.76122319,2,2
mufs190-1951-dpn1k104-i001.reference.tif,mufs190-1951-dpn1k103-i001.reference.tif,1415.014713,9.548546895,7.33490637,0,2
mufs190-1951-cni1h7-i001.reference.tif,mufs190-1951-cni1h8-i001.reference.tif,2076.135093,9.587195997,51.3853491,0,0
mufs190-1952-cni8h5-i001.reference.tif,mufs190-1952-cni8h4-i001.reference.tif,1538.682602,9.606002512,11.67878626,2,0
mufs190-1951-dpn1k61-i001.reference.tif,mufs190-1951-dpn1k60-i001.reference.tif,1581.565201,9.610944034,0.831257397,2,0
mufs190-1951-dpn1k38-i001.reference.tif,mufs190-1951-dpn1k39-i001.reference.tif,1607.381878,9.611040289,8.424947183,2,0
mufs190-1952-cni6h78-i001.reference.tif,mufs190-1952-cni6h97-i001.reference.tif,2826.157192,9.611853628,-1,2,0
mufs190-1952-cni6h77-i001.reference.tif,mufs190-1952-cni6h98-i001.reference.tif,3235.112792,9.621974072,9.200370351,0,2
mufs190-1951-dpn1k111-i001.reference.tif,mufs190-1951-dpn1k61-i001.reference.tif,3517.199211,9.64589467,1.460371501,2,2
mufs190-1951-dpn1k45-i001.reference.tif,mufs190-1951-dpn1k46-i001.reference.tif,1493.814148,9.672062153,8.927508402,0,2
