Center,Tile1,Distance1,Tile2,Distance2,Tile3,Distance3,Tile4,Distance4,Tile5,Distance5,Tile6,Distance6,Tile7,Distance7,Tile8,Distance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1824.8195762411926,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,2701.589323967082,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h140-i001.reference.tif,2893.095871297301,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3076.770147500295,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3366.21323501254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3806.8264747041485,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1546.5239332064261,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,1824.8195762411926,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2731.3325603535254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,2811.8276017564713,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,3490.9217566847396,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3494.2346336237797,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3584.732778590481,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3667.7373817659745
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1185.3746197195233,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1546.5239332064261,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,2794.4188043119657,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,2972.531119042379,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3185.542438472482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3292.749589203987,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3366.21323501254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3651.425804177788
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1185.3746197195233,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,1609.2804251530322,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,2731.3325603535254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,2868.457603416601,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3126.7745075372127,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,3299.143855547395,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,3367.283396302175,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3656.9234396282764
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1609.2804251530322,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,1763.1333640669575,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,2738.80963850931,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,2794.4188043119657,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3142.8301785787144,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h30-i001.reference.tif,3345.0566202333725,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3592.6451013179603,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3646.7124282899995
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1667.1416888927681,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3134.9397003043673,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3467.0696505988394,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3502.9352724173255,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3584.732778590481,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3806.8264747041485,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,1667.1416888927681,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1800.0072021802125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3023.503767578129,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3439.703695289073,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3492.6755453827295,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3493.038385964932,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3651.425804177788,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3667.7373817659745
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,1641.3278422735577,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1800.0072021802125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,3030.3665462197264,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3189.6704437595063,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3440.5314021221197,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3443.3933476447937,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3467.0696505988394,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,3656.9234396282764
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,1396.3381972818895,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1641.3278422735577,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h102-i001.reference.tif,3013.568146987155,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3176.625633064605,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3439.703695289073,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h154-i001.reference.tif,3481.8769932264977,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3646.7124282899995,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3822.7151540645655
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,1211.175203946367,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,1568.675490078107,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2868.457603416601,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3050.8267549952125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3142.8301785787144,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3185.542438472482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3241.1012064414695,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h93-i001.reference.tif,3327.5124910904756
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,1211.175203946367,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,2045.3661313559887,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,2779.467332347777,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,2972.531119042379,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,3126.7745075372127,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h93-i001.reference.tif,3364.5938453810127,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h92-i001.reference.tif,3398.6973479439944,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3494.2346336237797
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h154-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h153-i001.reference.tif,1276.863878760376,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h155-i001.reference.tif,1777.3630586127815,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h152-i001.reference.tif,3155.276614655468,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h112-i001.reference.tif,3472.274977414578,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h110-i001.reference.tif,3552.386602445923,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h156-i001.reference.tif,3913.193258459328,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h155-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h154-i001.reference.tif,1777.3630586127815,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h156-i001.reference.tif,2138.584851424348,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h153-i001.reference.tif,3051.570780499542,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h110-i001.reference.tif,3095.0200266320708,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h156-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h155-i001.reference.tif,2138.584851424348,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h157-i001.reference.tif,2364.754652771985,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h110-i001.reference.tif,3646.745467290027,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h158-i001.reference.tif,3759.3309720505217,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h154-i001.reference.tif,3913.193258459328,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h157-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h158-i001.reference.tif,1394.7471844700558,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h156-i001.reference.tif,2364.754652771985,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h159-i001.reference.tif,3140.272956901921,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h158-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h157-i001.reference.tif,1394.7471844700558,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h159-i001.reference.tif,1745.5257737223917,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h160-i001.reference.tif,3671.585078701416,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h156-i001.reference.tif,3759.3309720505217,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h159-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h158-i001.reference.tif,1745.5257737223917,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h160-i001.reference.tif,1931.4882838793328,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h157-i001.reference.tif,3140.272956901921,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h160-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h159-i001.reference.tif,1931.4882838793328,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h158-i001.reference.tif,3671.585078701416,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k25-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k24-i001.reference.tif,1588.6434176772775,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,2123.5315862181633,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k23-i001.reference.tif,3286.8908615479627,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k42-i001.reference.tif,3360.8562390191555,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k43-i001.reference.tif,3751.7323898619775,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,3790.6097810199653,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,3965.9856465140147,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,1852.0104975271875,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k25-i001.reference.tif,2123.5315862181633,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,3020.7297148051093,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,3410.5281406730287,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k42-i001.reference.tif,3655.9475376657133,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k24-i001.reference.tif,3688.211116639508,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k28-i001.reference.tif,3891.017008492168,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k39-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k38-i001.reference.tif,1607.381877633205,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,1819.0622082186646,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,3538.3888449799524,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k28-i001.reference.tif,3587.1695079725355,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,3660.188690737749,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k37-i001.reference.tif,3755.0244630177717,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k29-i001.reference.tif,3880.2836051238337,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,1726.738790372938,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k39-i001.reference.tif,1819.0622082186646,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,3095.7284356068308,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k38-i001.reference.tif,3353.2806083029877,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,3410.5281406730287,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k42-i001.reference.tif,3472.2235141235406,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,1726.738790372938,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k42-i001.reference.tif,1747.44594301128,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,3020.7297148051093,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k39-i001.reference.tif,3538.3888449799524,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k43-i001.reference.tif,3558.0091665513055,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,3669.9213700580067,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k25-i001.reference.tif,3790.6097810199653,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k42-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,1747.44594301128,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k43-i001.reference.tif,1811.2547798689077,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k25-i001.reference.tif,3360.8562390191555,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,3472.2235141235406,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k44-i001.reference.tif,3590.752529768045,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k24-i001.reference.tif,3633.077925593521,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,3655.9475376657133,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k3-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k4-i001.reference.tif,1632.037675585243,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k5-i001.reference.tif,3259.951466708522,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k4-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k5-i001.reference.tif,1630.38625974277,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k3-i001.reference.tif,1632.037675585243,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k6-i001.reference.tif,3494.810905947452,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k21-i001.reference.tif,3691.7698447965618,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k5-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k4-i001.reference.tif,1630.38625974277,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k6-i001.reference.tif,1864.5892565573424,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k21-i001.reference.tif,3038.617006500535,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k3-i001.reference.tif,3259.951466708522,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k20-i001.reference.tif,3709.050510649954,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k6-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k5-i001.reference.tif,1864.5892565573424,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k7-i001.reference.tif,2413.0847917037195,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k20-i001.reference.tif,2870.8959802895306,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k21-i001.reference.tif,3241.263902370564,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k4-i001.reference.tif,3494.810905947452,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k19-i001.reference.tif,3703.0263998128585,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k7-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k8-i001.reference.tif,2237.753282730955,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k6-i001.reference.tif,2413.0847917037195,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k19-i001.reference.tif,2819.3647481071675,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k18-i001.reference.tif,3381.4898807587124,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k20-i001.reference.tif,3453.592008811036,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k8-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k9-i001.reference.tif,1877.144168477878,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k7-i001.reference.tif,2237.753282730955,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k18-i001.reference.tif,3092.536671829666,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k10-i001.reference.tif,3577.1273778575573,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k17-i001.reference.tif,3648.781363584901,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k19-i001.reference.tif,3922.6148088469154,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k9-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k10-i001.reference.tif,1730.2159869789828,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k8-i001.reference.tif,1877.144168477878,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k17-i001.reference.tif,3401.592873315185,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k18-i001.reference.tif,3883.0153938954068,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k16-i001.reference.tif,3930.8355218472393,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k11-i001.reference.tif,3936.375156537388,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k10-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k9-i001.reference.tif,1730.2159869789828,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k11-i001.reference.tif,2207.8021951317323,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k16-i001.reference.tif,3327.430654393085,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k8-i001.reference.tif,3577.1273778575573,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k17-i001.reference.tif,3627.961262087003,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k15-i001.reference.tif,3856.7008096278814,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k11-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k10-i001.reference.tif,2207.8021951317323,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k15-i001.reference.tif,3229.0351012811825,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k16-i001.reference.tif,3876.733467844571,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k9-i001.reference.tif,3936.375156537388,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k15-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k16-i001.reference.tif,1905.7059091974209,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k11-i001.reference.tif,3229.0351012811825,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k17-i001.reference.tif,3630.9164236753536,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpl2k10-i001.reference.tif,3856.7008096278814,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
