Center,Tile1,Distance1,Tile2,Distance2,Tile3,Distance3,Tile4,Distance4,Tile5,Distance5,Tile6,Distance6,Tile7,Distance7,Tile8,Distance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,1293.9879043186677,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,1764.684837482179,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,2782.2069790329524,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,2938.992512438342,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3209.426753337641,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h76-i001.reference.tif,3244.218944337447,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,3310.103931103991,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h72-i001.reference.tif,3452.9826526293377
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,1293.9879043186677,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h76-i001.reference.tif,1950.2797026206022,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,2827.356639163262,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,3054.764342774114,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,3129.5886045974544,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3139.5543209013777,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h77-i001.reference.tif,3492.693645463976,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,3537.692523752253
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h98-i001.reference.tif,1525.002856090619,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,1862.0143152114015,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,2872.328753166108,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h97-i001.reference.tif,3073.455180041258,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h131-i001.reference.tif,3246.263584445483,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h76-i001.reference.tif,3328.4154202360482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,3482.3522180873742,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,3537.692523752253
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,1629.8942753660185,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,1862.0143152114015,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,3139.5543209013777,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,3209.426753337641,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,3257.8033182917743,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h98-i001.reference.tif,3348.9587474227733,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h102-i001.reference.tif,3389.173849783964,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,3482.379407242418
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,1629.8942753660185,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h102-i001.reference.tif,1761.4836252988412,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h128-i001.reference.tif,3089.6896272150143,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,3174.3887460449114,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,3310.103931103991,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,3482.3522180873742,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,3613.2996571098292,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h127-i001.reference.tif,3728.3657545170013
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h102-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,1761.4836252988412,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h72-i001.reference.tif,2803.9175102776003,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,3125.769598158218,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3389.173849783964,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h127-i001.reference.tif,3470.3677831817363,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h128-i001.reference.tif,3613.0333358861076,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h126-i001.reference.tif,3652.667332598837,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h128-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h127-i001.reference.tif,1565.9628964785888,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,1680.7814609342122,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h101-i001.reference.tif,3089.6896272150143,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h35-i001.reference.tif,3241.9435810554696,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,3264.2963509463293,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h126-i001.reference.tif,3302.39498572568,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h36-i001.reference.tif,3495.9823503204893,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3543.253291635528
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,1596.8512754875085,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h128-i001.reference.tif,1680.7814609342122,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h131-i001.reference.tif,3031.8444659019483,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h34-i001.reference.tif,3137.315684256195,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h127-i001.reference.tif,3218.56763089068,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3257.8033182917743,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h35-i001.reference.tif,3466.1601055649876,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,3539.700787665634
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h131-i001.reference.tif,1451.939075472814,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,1596.8512754875085,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,2872.328753166108,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h132-i001.reference.tif,3200.767533476553,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h128-i001.reference.tif,3264.2963509463293,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h100-i001.reference.tif,3482.379407242418,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h33-i001.reference.tif,3483.765885040055,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h34-i001.reference.tif,3583.5535496529114
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h131-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h130-i001.reference.tif,1451.939075472814,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h132-i001.reference.tif,1757.0256483382316,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h129-i001.reference.tif,3031.8444659019483,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h32-i001.reference.tif,3245.9594616695367,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h99-i001.reference.tif,3246.263584445483,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h98-i001.reference.tif,3300.6207855550906,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h33-i001.reference.tif,3489.185763636123,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h31-i001.reference.tif,3545.72807249385
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h136-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h137-i001.reference.tif,1760.1986693209378,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h128-i001.reference.tif,2668.1497446818084,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h127-i001.reference.tif,2948.9239500008425,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h84-i001.reference.tif,3362.835297087637,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h138-i001.reference.tif,3784.486700040098,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h137-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h136-i001.reference.tif,1760.1986693209378,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h138-i001.reference.tif,2079.8879895517252,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h83-i001.reference.tif,2919.4725068134126,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h84-i001.reference.tif,3049.2546255693087,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h127-i001.reference.tif,3390.2087326815054,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h82-i001.reference.tif,3798.507507618499,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h128-i001.reference.tif,3852.881982086631,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h138-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h139-i001.reference.tif,1945.8475308359489,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h137-i001.reference.tif,2079.8879895517252,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h82-i001.reference.tif,2973.599746662591,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h83-i001.reference.tif,3281.255174460302,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h125-i001.reference.tif,3396.8997729732127,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h81-i001.reference.tif,3557.488558442881,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h136-i001.reference.tif,3784.486700040098,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h139-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h138-i001.reference.tif,1945.8475308359489,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h140-i001.reference.tif,2145.9336515626433,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h81-i001.reference.tif,2800.1379382028194,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h80-i001.reference.tif,3009.6314866224566,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h82-i001.reference.tif,3268.725911356384,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h125-i001.reference.tif,3642.999840086725,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h141-i001.reference.tif,3674.546059313673,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h124-i001.reference.tif,3732.199973585057
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h81-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h80-i001.reference.tif,1392.0693823931388,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h82-i001.reference.tif,1716.6492397817035,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h139-i001.reference.tif,2800.1379382028194,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h79-i001.reference.tif,3072.8506136555025,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h93-i001.reference.tif,3356.1581308335662,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h140-i001.reference.tif,3410.380095768819,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h138-i001.reference.tif,3557.488558442881,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h94-i001.reference.tif,3558.414610787955
