MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1952-dpb4h160-i001-001.tif,18TYM050995\18TYM050995.jp2,18TYM065995\18TYM065995.jp2,18TYM080995\18TYM080995.jp2,18TYM050980\18TYM050980.jp2,18TYM065980\18TYM065980.jp2,18TYM080980\18TYM080980.jp2,18TYM050965\18TYM050965.jp2,18TYM065965\18TYM065965.jp2,18TYM080965\18TYM080965.jp2
mufs190-1952-dpb6h54-i001-001.tif,18TYM020995\18TYM020995.jp2,18TYM035995\18TYM035995.jp2,18TYN050010\18TYN050010.jp2,18TYM020980\18TYM020980.jp2,18TYM035980\18TYM035980.jp2,18TYM050995\18TYM050995.jp2,18TYM020965\18TYM020965.jp2,18TYM035965\18TYM035965.jp2,18TYM050980\18TYM050980.jp2
mufs190-1952-dpb6h55-i001-001.tif,18TYM020980\18TYM020980.jp2,18TYM035995\18TYM035995.jp2,18TYM050995\18TYM050995.jp2,18TYM020965\18TYM020965.jp2,18TYM035980\18TYM035980.jp2,18TYM050980\18TYM050980.jp2,18TYM020950\18TYM020950.jp2,18TYM035965\18TYM035965.jp2,18TYM050965\18TYM050965.jp2
mufs190-1952-dpb6h56-i001-001.tif,18TYM020965\18TYM020965.jp2,18TYM035965\18TYM035965.jp2,18TYM050965\18TYM050965.jp2,18TYM020950\18TYM020950.jp2,18TYM035950\18TYM035950.jp2,18TYM050950\18TYM050950.jp2,18TYM020935\18TYM020935.jp2,18TYM035935\18TYM035935.jp2,18TYM050935\18TYM050935.jp2
mufs190-1952-dpb6h57-i001-001.tif,18TYM020950\18TYM020950.jp2,18TYM035950\18TYM035950.jp2,18TYM050950\18TYM050950.jp2,18TYM020935\18TYM020935.jp2,18TYM035935\18TYM035935.jp2,18TYM050935\18TYM050935.jp2,18TYM020920\18TYM020920.jp2,18TYM035920\18TYM035920.jp2,18TYM050920\18TYM050920.jp2
mufs190-1952-dpb6h58-i001-001.tif,18TYM020935\18TYM020935.jp2,18TYM035935\18TYM035935.jp2,18TYM050935\18TYM050935.jp2,18TYM020920\18TYM020920.jp2,18TYM035920\18TYM035920.jp2,18TYM050920\18TYM050920.jp2,18TYM020905\18TYM020905.jp2,18TYM035905\18TYM035905.jp2,18TYM050905\18TYM050905.jp2
mufs190-1952-dpb6h59-i001-001.tif,18TYM020920\18TYM020920.jp2,18TYM035920\18TYM035920.jp2,18TYM050920\18TYM050920.jp2,18TYM020905\18TYM020905.jp2,18TYM035905\18TYM035905.jp2,18TYM050905\18TYM050905.jp2,18TYM020890\18TYM020890.jp2,18TYM035890\18TYM035890.jp2,18TYM050890\18TYM050890.jp2
mufs190-1952-dpb6h60-i001-001.tif,18TYM020905\18TYM020905.jp2,18TYM035905\18TYM035905.jp2,18TYM050905\18TYM050905.jp2,18TYM020890\18TYM020890.jp2,18TYM035890\18TYM035890.jp2,18TYM050890\18TYM050890.jp2,18TYM020875\18TYM020875.jp2,18TYM035875\18TYM035875.jp2,18TYM050875\18TYM050875.jp2
mufs190-1952-dpb6h61-i001-001.tif,18TYM020890\18TYM020890.jp2,18TYM035890\18TYM035890.jp2,18TYM050890\18TYM050890.jp2,18TYM020875\18TYM020875.jp2,18TYM035875\18TYM035875.jp2,18TYM050875\18TYM050875.jp2,18TYM020860\18TYM020860.jp2,18TYM035860\18TYM035860.jp2,18TYM050860\18TYM050860.jp2
mufs190-1952-dpb6h62-i001-001.tif,18TYM020875\18TYM020875.jp2,18TYM035875\18TYM035875.jp2,18TYM050875\18TYM050875.jp2,18TYM020860\18TYM020860.jp2,18TYM035860\18TYM035860.jp2,18TYM050860\18TYM050860.jp2,18TYM020845\18TYM020845.jp2,18TYM035845\18TYM035845.jp2,18TYM050845\18TYM050845.jp2
