Filename,Coord X,Coord Y,GeoReferenced,Annotated
mufs190-1952-cni5h24-i001-001.tif,106119.2531,865433.2892,1,0.0
mufs190-1952-cni5h25-i001-001.tif,105992.2528,867253.6262,1,2.0
mufs190-1952-cni5h26-i001-001.tif,106055.753,868798.7959,1,0.0
mufs190-1952-cni5h27-i001-001.tif,106055.753,869984.1316,1,2.0
mufs190-1952-cni5h28-i001-001.tif,106098.0864,871592.8015,1,0.0
mufs190-1952-cni5h97-i001-001.tif,102478.4228,866544.7615,1,2.0
mufs190-1952-cni5h98-i001-001.tif,102451.9645,868211.6398,1,0.0
mufs190-1952-cni5h99-i001-001.tif,102399.0477,870010.8101,1,2.0
mufs190-1952-cni5h100-i001-001.tif,102451.9645,871651.23,1,0.0
mufs190-1952-cni6h136-i001-001.tif,108915.8939,870201.1537,1,2.0
mufs190-1952-cni6h137-i001-001.tif,109021.7275,868994.6513,1,2.0
mufs190-1952-dpb4h154-i001-001.tif,118774.3684,896141.7735,1,0.0
mufs190-1952-dpb4h155-i001-001.tif,118807.8964,897918.7611,1,2.0
mufs190-1952-dpb4h156-i001-001.tif,119009.0648,900047.7933,1,0.0
mufs190-1952-dpb4h157-i001-001.tif,118942.0087,902411.522,1,2.0
mufs190-1952-dpb4h158-i001-001.tif,118874.9526,903804.6132,1,2.0
mufs190-1952-dpb4h159-i001-001.tif,118791.1324,905548.0727,1,0.0
mufs190-1952-dpb4h160-i001-001.tif,118908.4806,907475.9366,1,0.0
mufs190-1952-dpb6h54-i001-001.tif,115860.9557,908333.7737,1,2.0
mufs190-1952-dpb6h55-i001-001.tif,115860.9557,906894.4375,1,0.0
mufs190-1952-dpb6h56-i001-001.tif,115818.6223,904989.4337,1,2.0
mufs190-1952-dpb6h57-i001-001.tif,115776.2889,903528.9308,1,2.0
mufs190-1952-dpb6h58-i001-001.tif,115818.6223,901850.4108,1,2.0
mufs190-1952-dpb6h59-i001-001.tif,115860.9557,900178.2407,1,2.0
mufs190-1952-dpb6h60-i001-001.tif,115733.9555,898506.0707,1,2.0
mufs190-1952-dpb6h61-i001-001.tif,115691.6221,896960.901,1,0.0
mufs190-1952-dpb6h62-i001-001.tif,115733.9555,895458.0646,1,2.0
mufs190-1951-dpn1k25-i001-001.tif,214439.0788,851553.2353,1,2.0
mufs190-1951-dpn1k26-i001-001.tif,214657.0113,853665.5035,1,0.0
mufs190-1951-dpn1k39-i001-001.tif,217909.2338,857058.5439,1,0.0
mufs190-1951-dpn1k40-i001-001.tif,217674.5373,855254.7339,1,2.0
mufs190-1951-dpn1k41-i001-001.tif,217674.5373,853528.0385,1,0.0
mufs190-1951-dpn1k42-i001-001.tif,217791.8855,851784.579,1,2.0
mufs190-1951-dpl2k3-i001-001.tif,292093.2035,832630.1166,1,0.0
mufs190-1951-dpl2k4-i001-001.tif,292177.8703,831000.28,1,2.0
mufs190-1951-dpl2k5-i001-001.tif,292135.5369,829370.4434,1,0.0
mufs190-1951-dpl2k6-i001-001.tif,292050.8701,827507.773,1,2.0
mufs190-1951-dpl2k7-i001-001.tif,292029.7034,825094.7682,1,0.0
mufs190-1951-dpl2k8-i001-001.tif,292431.8709,822893.4305,1,2.0
mufs190-1951-dpl2k9-i001-001.tif,292664.7047,821030.7601,1,0.0
mufs190-1951-dpl2k10-i001-001.tif,292431.8709,819316.2566,1,2.0
mufs190-1951-dpl2k11-i001-001.tif,292262.5372,817114.9189,1,0.0
mufs190-1951-dpl2k15-i001-001.tif,289051.812,817458.8779,1,2.0
mufs190-1951-dpl2k16-i001-001.tif,289104.7288,819363.8817,1,0.0
mufs190-1951-dpl2k17-i001-001.tif,289263.4791,821083.6769,1,2.0
mufs190-1951-dpl2k18-i001-001.tif,289342.8543,823041.5974,1,0.0
mufs190-1951-dpl2k19-i001-001.tif,289210.5623,825131.8099,1,2.0
mufs190-1951-dpl2k20-i001-001.tif,289210.5623,827089.7305,1,0.0
mufs190-1951-dpb1h18-i001-001.tif,124907.126,888177.0859,0,-1.0
mufs190-1951-dpb1h19-i001-001.tif,124420.2917,890082.0897,1,0.0
mufs190-1951-dpb1h20-i001-001.tif,124631.9588,891754.2598,1,2.0
mufs190-1951-dpb1h21-i001-001.tif,124780.1257,893468.7632,1,0.0
mufs190-1951-dpb1h22-i001-001.tif,124864.7925,895310.2669,1,2.0
mufs190-1951-dpb1h23-i001-001.tif,124907.126,896622.6028,1,0.0
mufs190-1951-dpb1h24-i001-001.tif,124843.6258,897998.4389,1,2.0
mufs190-1951-dpb1h25-i001-001.tif,124801.2924,899797.6092,1,0.0
mufs190-1952-dpb3h109-i001-001.tif,130713.2199,885921.8123,1,2.0
